DATE,PN02312FM,PD37976BM,PN02028AM,PD37972BM,PD37974BM,Class
2003-07-01,0.008145102847436192,-0.0023129875220835316,0.005123701713261042,0.014381448390865081,-0.004499061042466224,0
2003-08-01,0.007330801334554771,-0.0006565444125881115,0.005833398219828645,0.015073151920550032,-0.004461529619911531,0
2003-09-01,0.0071459474349708785,0.001634131149051754,0.00637877030538192,0.015446203915675305,-0.003822910292873516,0
2003-10-01,0.007828501656265807,0.004008183514408792,0.006782272801201472,0.015679344096964698,-0.0028888936910886898,0
2003-11-01,0.009057930489459132,0.006510849888095471,0.007004617188998807,0.01592288566540212,-0.002197868262402203,0
2003-12-01,0.010282073109997292,0.00872086340903877,0.007113523117932452,0.01596743940219003,-0.0017549692909204495,0
2004-01-01,0.011195893370279819,0.009884529177793588,0.007225677275926046,0.015736666804829547,-0.0016447936333081614,0
2004-02-01,0.011483345985420002,0.010384915948985274,0.007410080665105845,0.015408611627073299,-0.0014928555888982231,0
2004-03-01,0.011156984087054234,0.010829043772610625,0.007646877044664713,0.015217565863411942,-0.000802301295649066,0
2004-04-01,0.010543983467520057,0.01159899252223795,0.007811889497790325,0.015050470776293956,0.0004637874248096807,0
2004-05-01,0.01005240309710409,0.012578261822491221,0.007852491989115862,0.014797564400739205,0.002154996469020176,0
2004-06-01,0.010077206550541007,0.013201428978789842,0.0076171984951809435,0.014272859080178613,0.003755944730645666,0
2004-07-01,0.010541092741452651,0.013470661390575067,0.007289436173441466,0.013825075819164923,0.00486945156915386,0
2004-08-01,0.011244733850880095,0.013364065673864722,0.0069785803035902205,0.013450168745197999,0.005372533160495685,0
2004-09-01,0.011935941790220284,0.012618805266425781,0.006723177415168813,0.012933141752109911,0.005547217169328711,0
2004-10-01,0.012060443125985643,0.011162136426820624,0.0065664815191022186,0.012215589204201294,0.005836422049910972,0
2004-11-01,0.011733548849283792,0.009664637127987596,0.006635138854144351,0.011261867313964835,0.006646886136463692,0
2004-12-01,0.011436881220657114,0.008352593900399441,0.006848713990898148,0.010472160280713183,0.007507057777479176,0
2005-01-01,0.011284433604624056,0.007481732379971184,0.006982911945396353,0.00971576087837267,0.008143595115130076,0
2005-02-01,0.011264421577159567,0.007169640854343129,0.007001723021071271,0.008764091430048637,0.008631276254729592,0
2005-03-01,0.011867544628740845,0.006940413119104427,0.0068874496656672335,0.007528715636780703,0.008812693501421442,0
2005-04-01,0.013646153013942453,0.006658079380947868,0.006806991954554142,0.006368428898751333,0.00878241763922194,0
2005-05-01,0.015726130136496153,0.006448528708379975,0.006867368446549449,0.00530993836853888,0.008549866524642624,0
2005-06-01,0.017771525507733088,0.0066541613006743106,0.006996411307786943,0.004740300973367084,0.008302115049999337,0
