"DATE","PD37972BM","PD37974BM","PD37976BM"
Feb13,120.635089988968,215.550286911928,141.078930294686
Mar13,128.351505295037,204.58675427192,146.046074800368
Abr13,123.466117787613,256.294355895681,160.054999017526
May13,136.056742350988,240.143644866454,177.169549198519
Jun13,134.446645771024,240.712732163784,142.317917588915
Jul13,135.984153691144,240.120348711326,162.080172524957
Ago13,142.481996941072,246.120163319598,170.99253658584
Sep13,135.358665491726,234.145680758538,150.880782001251
Oct13,146.179802436571,281.894624995547,163.660845392568
Nov13,160.370600944685,253.607823295399,140.396241531729
Dic13,169.225226777473,212.744579776473,145.124538415079
Ene14,137.729142937473,196.886918982085,150.547378592869
Feb14,141.181633896892,196.538006883534,137.31538603894
Mar14,147.080788155998,222.222036522397,146.832159594628
Abr14,128.853603768587,255.040737856473,162.144304236637
May14,139.024123497281,243.761982584105,161.158144870483
Jun14,142.163935581652,215.709773799741,155.681983876815
Jul14,144.518322732844,224.515308292827,156.368878481742
