DATE,PN02312FM,PN38705PM,PN02028AM,PD37972BM,PD37974BM,PD37976BM,Recesion
2004-08-01,3034.76657051908,60.7786062550879,73.9149841479296,77.6855359327047,64.1439640535036,72.1409815852487,0
2004-09-01,2973.03502760644,60.7887500297095,75.2173973450929,75.4756800665199,70.4841938611629,71.6252283034019,0
2004-10-01,2869.99073332721,60.7743144711919,74.5381012072052,80.1089112423248,68.2486419820967,65.1725539309634,0
2004-11-01,2894.51634224893,60.9487417063845,73.482814004095,80.6052895406633,84.6944092566696,64.0968249704665,0
2004-12-01,3266.45412139729,60.9430396954876,74.6635384575175,92.8942833376028,84.1160442493316,74.8007344412331,0
2005-01-01,3198.02374926773,61.0040738479291,73.0649979110371,80.5893824041003,64.9805380616784,73.4155620211711,0
2005-02-01,2781.30483368292,60.8609458754252,73.9209818823327,76.1995207298026,60.3159175614748,65.364702172345,0
2005-03-01,3444.41830735642,61.2566614044346,74.6250409884113,78.4357529202297,67.1868443889098,71.4554081127291,0
2005-04-01,4794.65309119728,61.3294488372526,75.7766565962743,80.7739280875835,76.0525933640968,74.1378963258284,0
2005-05-01,3329.76281392246,61.4069266114744,78.7816939008867,86.5687317205513,72.0498463330055,72.9629931972566,0
2005-06-01,3230.89209964405,61.5688826072955,78.738371414104,79.8922209358979,72.7172830309188,68.2257037671264,0
2005-07-01,2950.66652868963,61.6332906115328,76.6324409075278,86.3165366757471,74.7957542884049,72.1832737948567,0
2005-08-01,3304.42078917539,61.522593693944,83.2004981328141,82.437957043676,83.8743820174636,80.9927387076522,0
2005-09-01,3436.57415073527,61.4645910782263,80.5771687890706,82.0483723296481,75.2283084764649,72.3908308159374,0
2005-10-01,3375.02288651113,61.5535798043051,80.0043747483057,90.9365146899416,75.4907272668677,70.2263724446761,0
2005-11-01,3523.11002101305,61.595463754538,80.0804823731068,88.8062508477033,97.1366614632924,80.8755574841907,0
2005-12-01,3660.51108360564,61.8536873585898,78.9478894562127,89.3612807788158,82.9784484796057,69.5357948700174,0
2006-01-01,4327.88158662108,62.1627138522279,83.0670091152387,84.6334481504145,75.4866374608043,77.5444566641431,0
2006-02-01,3436.71246411753,62.5035381526153,79.2100436554138,75.6870861501239,64.3294751796778,70.6542857665038,0
2006-03-01,4373.34795986904,62.7892809721904,85.8734090684175,87.2553133128552,77.772033119011,86.8429276609264,0
2006-04-01,6638.90696222947,63.1095108201663,77.9956194540496,82.2788106912844,80.8594290936522,78.252510911446,0
2006-05-01,4153.19963667793,62.7763229927264,85.3147077713366,90.9415506807556,86.0819366810835,81.0200009511493,0
2006-06-01,4088.75061319291,62.6931209883737,85.7628701539772,88.1154187240064,80.9525227296736,82.2499087396879,0
2006-07-01,4661.68655253035,62.5862666095457,85.0430686045955,97.0194068049453,78.1570202011716,84.8136108202491,0
2006-08-01,4202.09642919345,62.6734784912643,92.3705046129498,100.936553973853,89.0493990678605,83.0921079216353,0
